,Player,height,weight,collage,born,birth_city,birth_state
62,Chuck Gilmur,193,102,University of Washington,1922,,
63,Normie Glick,201,86,Loyola Marymount University,1927,,
64,Paul Gordon,190,83,University of Notre Dame,1927,,
65,Joe Graboski,201,88,,1930,,
66,Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin
67,Don Grate,188,83,Ohio State University,1923,Greenfield,Ohio
68,Alex Groza,201,98,University of Kentucky,1926,Martins Ferry,Ohio
69,Al Guokas,196,90,Saint Joseph's University,1925,,
70,Robert Hahn,208,108,North Carolina State University,1925,,
71,Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas
72,Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon
73,Dale Hamilton,183,81,Franklin College,1919,,
74,Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California
75,John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas
76,Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee
77,Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee
78,Billy Hassett,180,81,University of Notre Dame,1921,,
79,Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia
80,Bill Henry,206,97,Rice University,1924,Dallas,Texas
81,Bill Herman,190,77,Mount Union College,1924,,
82,Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota
83,Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York
84,Paul Hoffman,188,88,Purdue University,1925,,
85,Joe Holland,193,83,University of Kentucky,1925,,
86,Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York
87,Gene James,193,81,Marshall University,1925,Ironton,Ohio
88,Howie Janotta,190,83,Seton Hall University,1924,,
89,Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota
90,Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania
91,Arnie Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
92,Ralph Johnson,180,77,Huntington University,1921,,
93,Wah Wah,180,77,,1921,,
94,Noble Jorgensen,206,103,University of Iowa,1925,,
95,George Kaftan,190,86,College of the Holy Cross,1928,New York,New York
96,Leo Katkaveck,183,83,North Carolina State University,1923,,
97,Jack Kerris,198,97,Loyola University of Chicago,1925,,
98,Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas
99,Walt Kirk,190,78,University of Illinois at Urbana-Champaign,1924,Mount Vernon,Illinois
100,Leo Klier,188,77,University of Notre Dame,1923,Washington,Indiana
101,Duane Klueh,190,79,Indiana State University,1926,Bottineau,North Dakota
102,Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland
103,Milo Komenich,201,96,University of Wyoming,1920,,
104,Leo Kubiak,180,72,Bowling Green State University,1927,,
105,Frank Kudelka,188,87,Saint Mary's College of California,1925,,
106,Walt Lautenbach,188,83,University of Wisconsin,1922,,
107,Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts
108,Ed Leede,190,83,Dartmouth College,1927,,
109,Andrew Levane,188,86,St. John's University,1920,Brooklyn,New York
110,Freddie Lewis,188,88,Eastern Kentucky University,1921,Brooklyn,New York
111,Ron Livingstone,208,99,University of Wyoming,1925,,
112,John Logan,188,79,Indiana University,1921,Richmond,Indiana
113,Ray Lumpp,185,80,New York University,1923,Brooklyn,New York
114,Ed Macauley*,203,83,Saint Louis University,1928,St. Louis,Missouri
115,Johnny Macknowski,183,81,Seton Hall University,1923,,
116,John Mahnken,203,99,Georgetown University,1922,New Jersey,New Jersey
117,John Mandic,193,92,Oregon State University,1919,Los Angeles,California
118,Slater Martin*,178,77,University of Texas at Austin,1925,El Mina,Texas
119,Ariel Maughan,193,86,Utah State University,1923,Salt Lake City,Utah
120,Matt Mazza,190,95,Michigan State University,1923,Niagara Falls,New York
121,Mike McCarron,180,81,Seton Hall University,1922,,
122,Dick McGuire*,183,81,St. John's University,1926,Huntington,New York
123,Bones McKinney,198,83,University of North Carolina,1919,Lowlands,North Carolina
124,Mal McMullen,196,95,Xavier University,1927,,
125,Dick Mehen,196,88,University of Tennessee,1922,,
126,Ken Menke,183,76,University of Illinois at Urbana-Champaign,1922,,
127,Stan Miasek,196,95,,1924,,
128,Ed Mikan,203,104,DePaul University,1925,,
129,George Mikan*,208,111,DePaul University,1924,Joliet,Illinois
130,Vern Mikkelsen*,201,104,Hamline University,1928,Fresno,California
131,Al Miksis,201,95,Western Illinois University,1928,,
132,Murray Mitchell,201,95,Sam Houston State University,1923,,
133,Leo Mogus,193,86,Youngstown State University,1921,Ohio,
134,Max Morris,188,88,Northwestern University,1925,,
135,Joe Mullaney,183,74,College of the Holy Cross,1925,Long Island,New York
136,Jerry Nagel,183,86,Loyola University of Chicago,1928,Chicago,Illinois
137,Jack Nichols,201,100,University of Washington,1926,,
138,Richie Niemiera,185,74,University of Notre Dame,1921,Chicago,Illinois
139,Paul Noel,193,83,University of Kentucky,1924,Midway,Kentucky
140,Jim Nolan,203,95,Georgia Institute of Technology,1927,Macon,Georgia
141,Johnny Norlander,190,81,Hamline University,1921,Virginia,Minnesota
142,George Nostrand,203,88,University of Wyoming,1924,Uniondale,New York
143,Mike Novak,206,99,Loyola University of Chicago,1915,Chicago,Illinois
144,Dermie O'Connell,183,78,College of the Holy Cross,1928,,
145,Andy O'Donnell,185,81,Loyola College in Maryland,1925,,
146,Dick O'Keefe,188,83,Santa Clara University,1923,San Francisco,California
147,John Oldham,190,79,Western Kentucky University,1923,Beaver Dam,Kentucky
148,Gene Ollrich,180,72,Drake University,1922,Whiting,Indiana
149,Johnny Orr,190,88,Beloit College,1927,Yale,Kansas
150,Don Otten,208,108,Bowling Green State University,1921,Bellefontaine,Ohio
151,Mac Otten,201,99,Bowling Green State University,1925,Bellefontaine,Ohio
152,Red Owens,190,83,Baylor University,1925,,
153,Easy Parham,190,90,Texas Wesleyan University,1921,Fort Worth,Texas
154,Jack Parkinson,183,78,University of Kentucky,1924,Yorktown,Indiana
155,Charlie Parsley,188,79,Western Kentucky University,1925,,
156,Stan Patrick,188,83,University of Illinois at Urbana-Champaign,1922,,
157,Johnny Payak,193,78,Bowling Green State University,1926,,
158,Warren Perkins,190,86,Tulane University,1922,New Orleans,Louisiana
159,Ed Peterson,206,99,Cornell University,1924,,
160,Jack Phelan,196,88,DePaul University,1925,Chicago,Illinois
161,Andy Phillip*,188,88,University of Illinois at Urbana-Champaign,1922,Granite City,Illinois
162,Jim Pollard*,193,83,Stanford University,1922,Oakland,California
163,John Pritchard,206,99,Drake University,1927,,
164,Les Pugh,201,86,Ohio State University,1923,,
165,Don Putman,201,86,,1923,,
166,George Ratkovicz,198,99,,1922,Chicago,Illinois
167,Don Ray,196,86,Western Kentucky University,1921,Mt. Juliet,Tennessee
168,Chick Reiser,180,74,New York University,1914,,
169,Arnie Risen*,206,90,Ohio State University,1924,Williamstown,Kentucky
170,Tex Ritter,188,83,Eastern Kentucky University,1924,Richmond,Kentucky
171,Bill Roberts,206,95,University of Wyoming,1925,Fort Wayne,Indiana
172,Red Rocha,206,83,Oregon State University,1923,Hilo,Hawaii
173,Kenny Rollins,183,76,University of Kentucky,1923,Charlestown,Missouri
174,Bob Royer,178,70,Indiana State University,1927,,
175,Jerry Rullo,178,74,Temple University,1923,Philadelphia,Pennsylvania
176,Ed Sadowski,196,108,Seton Hall University,1917,Johnstown,Pennsylvania
177,Kenny Sailors,178,79,University of Wyoming,1921,Bushnell,Nebraska
178,Pep Saul,188,83,Seton Hall University,1924,,
179,Herm Schaefer,183,79,Indiana University,1918,Fort Wayne,Indiana
180,Marv Schatzman,196,90,Saint Louis University,1927,,
181,Fred Schaus,196,92,West Virginia University,1925,Newark,Ohio
182,Dolph Schayes*,203,99,New York University,1928,New York,New York
183,Milt Schoon,201,104,Valparaiso University,1922,,
184,Howie Schultz,198,90,Hamline University,1922,St. Paul,Minnesota
185,Dick Schulz,188,87,University of Wisconsin,1917,Racine,Wisconsin
186,Fred Scolari,178,81,University of San Francisco,1922,San Francisco,California
187,Wayne See,190,86,Northern Arizona University,1923,Clemenceau,Arizona
188,Glen Selbo,190,88,University of Wisconsin,1926,,
189,Rollie Seltz,178,74,Hamline University,1924,McIntosh,Minnesota
190,Jim Seminoff,188,86,University of Southern California,1922,Los Angelse,California
191,George Senesky,188,81,Saint Joseph's University,1922,Mahanoy City,Pennsylvania
192,Paul Seymour,185,81,University of Toledo,1928,Toledo,Ohio
193,Carl Shaeffer,190,83,University of Alabama,1924,Delphi,Indiana
194,Howie Shannon,188,79,Kansas State University,1923,Manhattan,Kansas
195,Charley Shipp,185,90,Catholic University of America,1913,,
196,Connie Simmons,203,100,,1925,Newark,New Jersey
197,Belus Smawley,185,88,Appalachian State University,1918,Golden Valley,North Carolina
198,Jack Smiley,190,86,University of Illinois at Urbana-Champaign,1922,Sandwich,Illinois
199,Chips Sobek,183,81,University of Notre Dame,1920,,
200,Odie Spears,196,92,Western Kentucky University,1925,,
201,Art Spector,193,90,Villanova University,1920,Philadelphia,Pennsylvania
202,Ed Stanczak,185,83,,1921,,
203,Gene Stump,188,83,DePaul University,1923,,
204,Mike Todorovich,196,99,University of Wyoming,1923,,
205,Jack Toomay,198,97,University of the Pacific,1922,Ontario,California
206,Bob Tough,183,83,St. John's University,1920,New York,New York
207,Blackie Towery,193,95,Western Kentucky University,1920,Caldwell,Kentucky
208,Dick Triptow,183,77,DePaul University,1922,Chicago,Illinois
209,Butch Van,183,77,,1922,,
210,Gene Vance,190,88,University of Illinois at Urbana-Champaign,1923,,
211,Ernie Vandeweghe,190,88,Colgate University,1928,Montreal,Canada
212,Floyd Volker,193,92,University of Wyoming,1921,Casper,Wyoming
213,Whitey Von,193,92,,1921,,
214,Clint Wager,198,95,Saint Mary's University of Minnesota,1920,Winona,Minnesota
215,Danny Wagner,183,77,University of Texas at Austin,1922,,
216,Brady Walker,198,92,Brigham Young University,1921,Provo,Utah
217,Paul Walther,188,72,University of Tennessee,1927,Covington,Kentucky
218,Bobby Wanzer*,183,77,Seton Hall University,1921,Brooklyn,New York
219,Murray Wier,175,70,University of Iowa,1926,Grand View,Iowa
220,D.C. Wilcutt,175,70,,1926,,
221,Bob Wood,175,70,Northern Illinois University,1921,,
222,Max Zaslofsky,188,77,St. John's University,1925,Brooklyn,New York
223,nan,,,nan,,,
224,Paul Arizin*,193,86,Villanova University,1928,Philadelphia,Pennsylvania
225,Ed Beach,190,90,West Virginia University,1929,,
226,Leon Blevins,188,72,University of Arizona,1926,,
227,Ike Borsavage,203,99,Temple University,1924,Plymouth,Pennsylvania
228,Art Burris,196,99,University of Tennessee,1924,,
229,Gerry Calabrese,185,79,St. John's University,1925,Hoboken,New Jersey
230,Cal Christensen,196,95,University of Toledo,1927,,
231,Nat Clifton*,198,99,Xavier University of Louisiana,1922,Little Rock,Arkansas
232,Chuck Cooper,196,95,Duquesne University,1926,,
233,Bob Cousy*,185,79,College of the Holy Cross,1928,New York,New York
234,Hank DeZonie,198,97,Clark Atlanta University,1922,,
235,Bob Donham,188,86,Ohio State University,1926,,
236,Ray Ellefson,203,104,West Texas A&M University,1922,Brookings,South Dakota
237,Larry Foust,206,97,La Salle University,1928,Painesville,Ohio
238,Ed Gayda,193,95,Washington State University,1927,,
239,Joe Hutton,185,77,Hamline University,1928,,
240,Bob Lavoy,201,83,Western Kentucky University,1926,,
241,Earl Lloyd*,196,90,West Virginia State University,1928,,
242,Don Lofgran,196,90,University of San Francisco,1928,Oakland,California
243,Norm Mager,196,83,City College of New York,1926,,
244,Joe McNamee,198,95,University of San Francisco,1926,,
245,Chuck Mrazovich,196,83,Eastern Kentucky University,1924,,
246,Ken Murray,188,86,St. Bonaventure University,1928,,
247,Tommy O'Keefe,188,83,Georgetown University,1928,Jersey City,New Jersey
248,Kevin O'Shea,188,79,University of Notre Dame,1925,San Francisco,California
249,Don Rehfeldt,201,95,University of Wisconsin,1927,Chicago,Illinois
250,Jim Riffey,193,90,Tulane University,1923,,
251,Alan Sawyer,196,88,"University of California, Los Angeles",1928,Long Beach,California
252,Herb Scherer,206,96,Long Island University,1928,,
253,Dick Schnittker,196,90,Ohio State University,1928,Kelleys Island,Ohio
254,Bill Sharman*,185,79,University of Southern California,1926,Abilene,Texas
255,Don Barksdale*,198,90,"University of California, Los Angeles",1923,Oakland,California
256,Elmer Behnke,201,95,Bradley University,1929,Rockford,Illinois
257,Stan Brown,190,90,,1929,,
258,Ed Dahler,196,86,Duquesne University,1926,,
259,Nate DeLong,198,99,University of Wisconsin-River Falls,1926,,
260,Dick Dickey,185,79,North Carolina State University,1926,Grant County,Indiana
261,Jake Fendley,183,81,Northwestern University,1929,,
262,Jerry Fowler,203,104,University of Missouri,1927,,
263,Lew Hitch,203,90,Kansas State University,1929,Griggsville,Illinois
264,Mel Hutchins,198,90,Brigham Young University,1928,Sacramento,California
265,Neil Johnston*,203,95,Ohio State University,1929,Chillicothe,Ohio
266,Jack Kiley,185,77,Syracuse University,1929,,
267,George King,183,79,University of Charleston,1928,Charleston,West Virginia
268,John McConathy,196,88,Northwestern State University,1930,Sailes,Louisiana
269,Alfred McGuire*,188,81,St. John's University,1928,New York,New York
270,Dave Minor,188,83,"University of California, Los Angeles",1922,Missouri,
271,Ralph O'Brien,175,72,Butler University,1928,Henshaw,Kentucky
272,Wally Osterkorn,196,97,University of Illinois at Urbana-Champaign,1928,,
273,Mel Payton,193,83,Tulane University,1926,,
274,John Pilch,190,83,University of Wyoming,1925,Sheridan,Wyoming
275,Ray Ragelis,193,92,Northwestern University,1928,,
276,Sam Ranzino,185,83,North Carolina State University,1927,Gary,Indiana
277,John Rennicke,188,83,Drake University,1929,,
278,Don Savage,190,92,LeMoyne College,1928,,
279,Chuck Share,211,106,Bowling Green State University,1927,,
280,Zeke Sinicola,178,74,Niagara University,1929,,
281,Whitey Skoog,180,81,University of Minnesota,1926,Duluth,Minnesota
282,Jim Slaughter,211,95,University of South Carolina,1928,,
283,Bill Tosheff,185,79,Indiana University,1926,,
284,Bob Wilson,193,83,West Virginia State University,1926,,
285,Jim Baechtold,193,92,Eastern Kentucky University,1927,McKeesport,Pennsylvania
286,Jim Brasco,185,77,New York University,1931,Brooklyn,New York
287,Dick Bunt,183,77,New York University,1930,Queens,New York
288,Gene Conley,203,102,Washington State University,1930,Muskogee,Oklahoma
289,Pete Darcey,201,98,Oklahoma State University,1930,,
290,Blaine Denning,188,79,Lawrence Technological University,1930,,
291,Danny Finn,185,83,St. John's University,1928,,
292,Dick Groat,180,81,Duke University,1930,Wilkinsburg,Pennsylvania
293,Don Hanrahan,201,90,Loyola University of Chicago,1929,,
294,Don Henriksen,201,102,University of California,1929,,
295,Jim Holstein,190,81,University of Cincinnati,1930,,
296,Bob Lochmueller,196,83,University of Louisville,1927,,
297,Mo Mahoney,188,92,Brown University,1927,,
298,Al Masino,178,78,Canisius College,1928,,
299,Jack McCloskey,188,86,University of Pennsylvania,1925,Mahanoy City,Pennsylvania
300,Bucky McConnell,178,77,Marshall University,1928,,
301,George McLeod,196,90,Texas Christian University,1931,,
302,Jack McMahon,185,83,St. John's University,1928,,
303,Monk Meineke,201,94,University of Dayton,1930,Dayton,Ohio
304,Eddie Miller,203,102,Syracuse University,1931,,
305,Bill Mlkvy,193,86,Temple University,1931,Palmerton,Pennsylvania
306,Jim Mooney,196,97,Villanova University,1930,,
307,Bob Naber,190,83,University of Louisville,1929,,
308,John O'Boyle,188,83,Colorado State University,1928,,
309,Mike O'Neill,190,95,University of California,1928,,
310,Claude Overton,188,88,East Central University,1927,,
311,Ralph Polson,201,90,Whitworth,1929,,
312,Bob Priddy,190,86,New Mexico State University,1930,,
313,Moe Radovich,183,72,University of Wyoming,1929,,
314,Sherwin Raiken,188,83,Villanova University,1928,,
315,Gene Rhodes,185,77,Western Kentucky University,1927,,
316,Dick Surhoff,193,95,Long Island University,1929,,
317,Mark Workman,206,97,West Virginia University,1930,Charleston,West Virginia
318,Zeke Zawoluk,201,97,St. John's University,1930,Brooklyn,New York
319,Don Ackerman,183,83,Long Island University,1930,New York,New York
320,Don Asmonga,188,83,Alliance College,1928,West Mifflin,Pennsylvania
321,Ernie Barrett,190,81,Kansas State University,1929,Pratt,Kansas
322,Ernie Beck,193,86,University of Pennsylvania,1931,Philadelphia,Pennsylvania
323,Irv Bemoras,190,83,University of Illinois at Urbana-Champaign,1930,,
324,Bill Bolger,196,92,Georgetown University,1931,,
325,Walt Davis,203,92,Texas A&M University,1931,Beaumont,Texas
326,Gene Dyker,198,102,DePaul University,1930,,
327,Ed Earle,190,86,Loyola University of Chicago,1927,,
328,Ray Felix,211,99,Long Island University,1930,New York,New York
329,Jim Fritsche,203,95,Hamline University,1931,,
330,Jack George,188,86,La Salle University,1928,Swissvale,Pennsylvania
331,Bato Govedarica,180,83,DePaul University,1928,,
332,Norm Grekin,196,81,La Salle University,1930,Philadelphia,Pennsylvania
333,Rollen Hans,188,95,Long Island University,1931,,
334,Bob Houbregs*,201,95,University of Washington,1932,Vancouver,Canada
335,Billy Kenville,188,84,St. Bonaventure University,1930,Elmhurst,New York
336,Dick Knostman,198,97,Kansas State University,1931,Wamego,Kansas
337,Clyde Lovellette*,206,106,University of Kansas,1929,Petersburg,Indiana
338,Jim Luisi,188,81,St. Francis College,1928,,
339,Jack Molinas,198,90,Columbia University,1931,New York,New York
340,Jim Neal,211,106,Wofford College,1930,,
341,Paul Nolen,211,106,Texas Tech University,1929,,
342,Bob Peterson,196,95,University of Oregon,1932,San Mateo,California
343,James Phelan,196,88,DePaul University,1925,Chicago,Illinois
344,Connie Rea,190,79,Centenary College of Louisiana,1935,,
345,Frank Reddout,196,88,Syracuse University,1935,,
346,Al Roges,193,88,Long Island University,1930,,
347,Ed Smith,198,81,Harvard University,1929,West Jefferson,Ohio
348,Joe Smyth,190,97,Niagara University,1929,,
349,Don Sunderlage,185,81,University of Illinois at Urbana-Champaign,1929,Roselle,Illinois
350,Norm Swanson,198,95,University of Detroit Mercy,1930,Chicago,Illinois
351,Hal Uplinger,193,83,Long Island University,1929,,
352,Isaac Walthour,180,73,,1930,New York City,New York
353,George Yardley*,196,86,Stanford University,1928,Hollywood,California
354,Don Anielak,201,86,Missouri State University,1930,,
355,Tom Brennan,190,88,Villanova University,1930,,
356,Bob Carney,190,77,Bradley University,1932,,
357,Fred Christ,193,95,Fordham University,1930,,
358,Bert Cook,190,83,Utah State University,1929,,
359,Larry Costello,185,84,Niagara University,1931,Minoa,New York
360,George Dempsey,188,86,King's College,1929,Philadelphia,Pennsylvania
361,Fred Diute,190,95,St. Bonaventure University,1929,,
362,Dick Farley,193,86,Indiana University,1932,,
363,Chuck Grigsby,196,86,University of Dayton,1928,Dayton,Ohio
364,Herm Hedderick,196,77,Canisius College,1930,Erie,Pennsylvania
365,Ed Kalafat,198,111,University of Minnesota,1932,,
366,Mike Kearns,188,80,Princeton University,1929,Trenton,New Jersey
367,Red Kerr,206,104,University of Illinois at Urbana-Champaign,1932,Chicago,Illinois
368,Dan King,198,99,Western Kentucky University,1931,,
369,Bob Knight,188,83,,1929,,
370,Ronnie MacGilvray,188,83,St. John's University,1930,,
371,Tom Marshall,193,97,Western Kentucky University,1931,,
372,Phil Martin,190,86,University of Toledo,1928,,
373,Ken McBride,190,86,University of Maryland Eastern Shore,1928,,
374,Carl McNulty,190,83,Purdue University,1930,,
375,Jackie Moore,196,81,La Salle University,1932,Philadelphia,Pennsylvania
376,Red Morrison,203,99,University of Idaho,1932,,
377,Boris Nachamkin,198,95,New York University,1933,,
378,Togo Palazzi,193,92,College of the Holy Cross,1932,Union City,New Jersey
379,Bob Pettit*,206,92,Louisiana State University,1932,Baton Rouge,Louisiana
380,Frank Ramsey*,190,86,University of Kentucky,1931,Corydon,Kentucky
381,Dick Rosenthal,196,92,University of Notre Dame,1930,,
382,Frank Selvy,190,81,Furman University,1932,Corbin,Kentucky
383,Gene Shue,188,77,University of Maryland,1931,Baltimore,Maryland
384,Art Spoelstra,206,99,Western Kentucky University,1932,,
385,Jim Tucker,201,83,Duquesne University,1932,Paris,Kentucky
386,Jack Turner,193,77,Western Kentucky University,1930,Bedford,Indiana
387,Bobby Watson,183,72,University of Kentucky,1930,Central City,Kentucky
388,Skippy Whitaker,185,81,University of Kentucky,1930,,
389,Jesse Arnelle,196,99,Pennsylvania State University,1933,New Rochelle,New York
390,Dick Atha,188,86,Indiana State University,1931,Otterbein,Indiana
391,Don Bielke,201,108,Valparaiso University,1931,,
392,Ed Conlin,196,90,Fordham University,1933,,
393,Red Davis,201,99,St. John's University,1932,,
394,Corky Devlin,196,88,George Washington University,1931,,
395,Walter Dukes,213,99,Seton Hall University,1930,Rochester,New York
396,Ron Feiereisel,190,83,DePaul University,1931,,
397,Al Ferrari,193,86,Michigan State University,1933,New York,New York
398,Ed Fleming,190,85,Niagara University,1933,,
399,Dick Garmaker,190,90,University of Minnesota,1932,Hibbing,Minnesota
400,Tom Gola*,198,92,La Salle University,1933,Philadelphia,Pennsylvania
401,Chris Harris,190,86,University of Dayton,1933,Southampton,United Kingdom
402,Dick Hemric,198,99,Wake Forest University,1933,Jonesville,North Carolina
403,Larry Hennessy,190,83,Villanova University,1929,,
404,Johnny Horan,203,86,University of Dayton,1932,,
405,Jim Loscutoff,196,99,University of Oregon,1930,San Francisco,California
406,Chuck Mencel,183,76,University of Minnesota,1933,Phillips,Wisconsin
407,Chuck Noble,193,86,University of Louisville,1931,,
408,Med Park,188,92,University of Missouri,1933,Britton,South Dakota
409,Richie Regan,188,81,Seton Hall University,1930,Newark,New Jersey
410,Dick Ricketts,201,97,Duquesne University,1933,Pottstown,Pennsylvania
411,Bob Santini,196,86,Iona College,1935,Bronx,New York
412,Bob Schafer,190,88,Villanova University,1935,,
413,Kenny Sears,206,89,Santa Clara University,1933,Watsonville,California
414,Jack Stephens,190,83,University of Notre Dame,1933,,
415,Maurice Stokes*,201,105,Saint Francis University,1933,Pittsburgh,Pennsylvania
416,Jack Twyman*,198,95,University of Cincinnati,1934,Pittsburgh,Pennsylvania
417,Bob Williams,198,104,Florida Agricultural and Mechanical University,1931,,
418,Forest Able,190,81,Western Kentucky University,1932,,
419,Bob Armstrong,203,99,Michigan State University,1933,Detroit,Michigan
420,John Barber,198,95,"California State University, Los Angeles",1927,,
421,Gary Bergen,203,95,University of Utah,1932,Independence,Missouri
422,Al Bianchi,190,83,Bowling Green State University,1932,Long Island City,New York
423,Bob Burrow,201,103,University of Kentucky,1934,Malvern,Arkansas
424,Si Green,188,83,Duquesne University,1933,New York,New York
425,Richie Guerin*,193,88,Iona College,1932,New York,New York
426,Cliff Hagan*,193,95,University of Kentucky,1931,Owensboro,Kentucky
427,Tom Heinsohn*,201,98,College of the Holy Cross,1934,Union City,New Jersey
428,Joe Holup,198,97,George Washington University,1934,,
429,Bob Hopkins,203,92,Grambling State University,1934,Jonesboro,Louisiana
430,Phil Jordon,208,92,Whitworth,1933,Lakeport,California
431,Hal Lear,183,73,Temple University,1935,Philadelphia,Pennsylvania
432,Slick Leonard*,190,83,Indiana University,1932,Terre Haute,Indiana
433,Johnny McCarthy,185,83,Canisius College,1934,,
434,Willie Naulls,198,102,"University of California, Los Angeles",1934,Dallas,Texas
435,Jim Paxson,198,90,University of Dayton,1932,Pennville,Indiana
436,Dave Piontek,198,104,Xavier University,1934,,
437,Jim Ray,185,81,University of Toledo,1934,,
438,Bill Russell*,208,97,University of San Francisco,1934,Monroe,Louisiana
439,Ron Shavlik,203,90,North Carolina State University,1933,Denver,Colorado
440,Ron Sobie,190,83,DePaul University,1934,Chicago,Illinois
441,Norm Stewart,196,92,University of Missouri,1935,Leonard,Missouri
442,Bill Thieben,201,97,Hofstra University,1935,,
